name,county_name,city_name,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
90001,Los Angeles,Florence-Graham; Huntington Park; Los Angeles,9071081,43360,54325,13727,0.7%,41207,44976,49008,31250,13669,3646,3951,2681,1516,1382,396,97,59832,17083.3,29.1,4.8%,0.8%,23.3%,8.7%,14174,359000
90002,Los Angeles,Florence-Graham; Los Angeles; Lynwood,7930602,37285,49724,13284,1.2%,29455,36209,44634,23235,12917,4562,3501,2117,1212,1116,257,152,53302,17407.4,28.0,4.7%,1.2%,31.2%,9.7%,13546,345900
90003,Los Angeles,Los Angeles,9197635,40598,51181,13441,0.9%,37159,37970,46117,30438,17484,5667,4918,2900,1979,1497,366,157,73730,20761.8,28.3,4.4%,1.4%,28.7%,9.0%,18523,362800
90004,Los Angeles,Los Angeles,7894528,49675,84325,32090,8.2%,31944,52273,52618,35679,22004,4831,6254,3822,2328,2185,780,1804,60541,19861.9,35.2,25.5%,9.5%,14.4%,4.6%,25192,1063200
90005,Los Angeles,Los Angeles,2807558,38491,54841,24267,3.6%,27961,45858,44438,19636,16781,5328,5125,2949,1220,1130,431,598,39732,36653.0,35.6,22.9%,8.4%,21.5%,5.6%,18291,777100
90006,Los Angeles,Los Angeles,4972251,37072,50157,17791,1.3%,40221,38628,40656,21366,19337,6129,6244,3367,1514,1340,484,259,59576,31032.5,34.1,15.1%,3.9%,23.8%,7.0%,21124,608600
90007,Los Angeles,Los Angeles,6389840,27406,52447,17808,1.8%,10729,37859,36033,19784,11919,5485,2656,1637,1090,577,261,213,42433,17199.3,24.3,17.6%,9.0%,23.2%,12.4%,13038,622600
90008,Los Angeles,Ladera Heights; Los Angeles; View Park-Windsor Hills,9513272,43364,69070,33723,5.8%,36087,44104,44580,39660,14858,4960,3325,2175,1177,1679,687,855,31754,8645.0,43.2,16.5%,13.5%,16.8%,10.1%,16147,701800
90011,Los Angeles,Los Angeles,11100440,40940,52535,12931,1.0%,46029,38110,45748,31194,24433,7222,7521,4053,2727,2085,576,249,111165,25937.4,28.7,3.7%,1.6%,29.7%,8.2%,25496,377600
90012,Los Angeles,Los Angeles,8379980,47027,74907,30023,6.2%,35804,83373,42095,15589,13216,4650,2105,1560,1276,2027,783,815,36552,11297.1,35.3,22.0%,11.0%,19.0%,7.3%,14156,533200
90013,Los Angeles,Los Angeles,1737688,22316,65566,41048,7.1%,31755,73971,11228,12461,7308,3873,869,485,451,869,240,521,12559,18718.9,43.3,25.6%,12.1%,11.6%,10.3%,8687,657400
90014,Los Angeles,Los Angeles,733426,40641,67825,46007,6.0%,36029,84722,12017,12041,5644,2525,534,567,446,916,320,336,8688,30680.4,41.7,31.7%,12.4%,16.5%,7.9%,6305,544500
90015,Los Angeles,Los Angeles,4430399,43890,80234,37408,10.5%,18043,62545,43309,17643,10270,3351,2315,936,814,1124,650,1080,22651,13241.7,31.9,24.1%,15.2%,23.5%,6.2%,11655,705000
90016,Los Angeles,Culver City; Los Angeles,9394067,48715,66037,26323,3.8%,27217,52179,54135,38759,17218,4143,4649,2923,2023,2132,689,659,45899,12654.6,37.4,15.9%,8.7%,13.4%,5.2%,18733,566600
90017,Los Angeles,Los Angeles,1881085,35605,63540,27359,4.6%,30034,48401,35719,14471,11510,4075,3026,1392,904,877,706,530,27723,38170.7,31.7,21.3%,10.3%,31.3%,5.6%,12906,651500
90018,Los Angeles,Los Angeles,7500311,45984,67108,22530,3.0%,22284,45500,57843,29855,16568,4511,4225,2653,1788,1827,1064,500,53490,18471.0,34.4,15.2%,5.7%,16.6%,7.8%,17711,586500
90019,Los Angeles,Los Angeles,10070057,56389,85483,34267,8.5%,29688,61118,65874,34846,24464,5355,5749,3894,2541,3311,1544,2070,64534,16597.9,38.2,23.4%,11.3%,13.0%,4.3%,26551,932700
